person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,monthly_interest_rate,emi,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status_num,monthly_income,dti,loan_status
27,male,Associate,48316,8,RENT,2800,DEBTCONSOLIDATION,0.0133,98.38440679,15.96,0.06,7,645,No,1,233.3333333,0.421647458,Approved
22,male,Associate,41458,2,RENT,9000,PERSONAL,0.009175,294.6910766,11.01,0.22,4,609,No,1,750.0,0.392921435,Approved
27,male,Associate,85833,2,MORTGAGE,15000,MEDICAL,0.01365,530.173917,16.38,0.17,6,660,No,1,1250.0,0.424139134,Approved
22,male,High School,16881,0,RENT,2500,VENTURE,0.008258333,80.56237304,9.91,0.15,4,620,No,1,208.3333333,0.386699391,Approved
29,female,Bachelor,368806,5,MORTGAGE,24631,DEBTCONSOLIDATION,0.0149,888.9876218,17.88,0.07,8,581,No,1,2052.583333,0.433106714,Approved
25,female,High School,59994,4,RENT,15000,MEDICAL,0.01015,499.5052043,12.18,0.25,4,674,No,1,1250.0,0.399604163,Approved
22,male,Master,33467,0,RENT,11000,MEDICAL,0.009566667,362.6314492,11.48,0.33,4,646,No,1,916.6666667,0.395597945,Approved
26,female,Associate,59530,4,RENT,16000,DEBTCONSOLIDATION,0.009475,526.6274175,11.37,0.27,5,551,No,1,1333.333333,0.394970563,Approved
24,female,Associate,172452,0,MORTGAGE,25000,MEDICAL,0.012366667,864.6756778,14.84,0.14,2,550,No,1,2083.333333,0.415044325,Approved
33,male,High School,39366,14,RENT,4000,DEBTCONSOLIDATION,0.006933333,125.9367903,8.32,0.1,7,628,Yes,0,333.3333333,0.377810371,Rejected
26,female,Associate,90783,2,MORTGAGE,4200,DEBTCONSOLIDATION,0.007233333,132.9342416,8.68,0.05,7,675,No,0,350.0,0.379812119,Rejected
23,female,Master,47905,0,RENT,3500,EDUCATION,0.009883333,116.0161896,11.86,0.07,4,685,No,1,291.6666667,0.397769793,Approved
144,male,Associate,241424,121,MORTGAGE,6000,EDUCATION,0.009883333,198.8848965,11.86,0.02,2,807,No,0,500.0,0.397769793,Rejected
32,male,Bachelor,126274,8,MORTGAGE,24000,DEBTCONSOLIDATION,0.007416667,762.0770836,8.9,0.19,5,644,No,1,2000.0,0.381038542,Approved
24,female,High School,63347,2,RENT,4000,DEBTCONSOLIDATION,0.010216667,133.3545111,12.26,0.06,4,641,Yes,0,333.3333333,0.400063533,Rejected
25,male,Master,31191,0,OWN,1525,MEDICAL,0.009125,49.89044213,10.95,0.05,2,628,Yes,0,127.0833333,0.392580528,Rejected
27,male,High School,178601,5,MORTGAGE,28000,HOMEIMPROVEMENT,0.010825,943.2957963,12.99,0.16,6,566,No,1,2333.333333,0.404269627,Approved
32,male,Associate,104108,9,MORTGAGE,15000,DEBTCONSOLIDATION,0.013666667,530.3224942,16.4,0.14,5,690,No,1,1250.0,0.424257995,Approved
23,male,Associate,103124,0,RENT,7000,EDUCATION,0.00895,228.3100958,10.74,0.07,3,664,Yes,0,583.3333333,0.391388736,Rejected
25,female,Bachelor,63417,3,MORTGAGE,3903,EDUCATION,0.009233333,127.9271291,11.08,0.06,4,590,Yes,0,325.25,0.393319382,Rejected
28,male,High School,55542,3,MORTGAGE,6473,MEDICAL,0.008683333,210.1442238,10.42,0.12,5,652,No,0,539.4166667,0.389576809,Rejected
46,male,High School,72899,24,RENT,4800,MEDICAL,0.0101,159.703936,12.12,0.07,16,671,No,0,400.0,0.39925984,Rejected
27,male,Bachelor,73010,6,RENT,12650,EDUCATION,0.009175,414.2046799,11.01,0.17,9,670,No,0,1054.166667,0.392921435,Rejected
25,male,Bachelor,71756,4,RENT,20000,HOMEIMPROVEMENT,0.012366667,691.7405423,14.84,0.28,4,684,No,1,1666.666667,0.415044325,Approved
26,female,High School,62131,2,MORTGAGE,13000,MEDICAL,0.012783333,452.8167719,15.34,0.21,2,578,No,1,1083.333333,0.417984713,Approved
22,male,Associate,44203,0,RENT,15000,VENTURE,0.011541667,511.5723209,13.85,0.34,3,630,No,1,1250.0,0.409257857,Approved
31,female,Doctorate,125722,12,MORTGAGE,7825,PERSONAL,0.008175,251.7932949,9.81,0.06,7,602,Yes,0,652.0833333,0.386136682,Rejected
22,male,Associate,66898,0,RENT,6000,DEBTCONSOLIDATION,0.006258333,186.6648663,7.51,0.09,3,594,No,0,500.0,0.373329733,Rejected
41,male,High School,152508,18,MORTGAGE,5870,VENTURE,0.008191667,188.9402262,9.83,0.04,12,704,No,0,489.1666667,0.386249185,Rejected
27,female,Bachelor,65420,3,RENT,4200,MEDICAL,0.009991667,139.480042,11.99,0.06,8,675,No,1,350.0,0.398514406,Approved
40,male,Associate,64314,19,RENT,6600,HOMEIMPROVEMENT,0.012116667,227.3072249,14.54,0.1,17,698,No,1,550.0,0.413285864,Approved
25,female,Associate,39679,2,RENT,10000,VENTURE,0.013975,355.3836533,16.77,0.25,4,672,No,1,833.3333333,0.426460384,Approved
24,male,Associate,80145,1,RENT,25000,EDUCATION,0.008258333,805.6237304,9.91,0.31,2,636,No,1,2083.333333,0.386699391,Approved
37,female,High School,130727,14,RENT,20000,HOMEIMPROVEMENT,0.013591667,706.2054472,16.31,0.15,13,638,No,1,1666.666667,0.423723268,Approved
27,male,Master,112525,2,MORTGAGE,3000,MEDICAL,0.00645,93.6496827,7.74,0.03,6,654,No,0,250.0,0.374598731,Rejected
27,female,Associate,204903,9,RENT,12075,VENTURE,0.01035,403.4893501,12.42,0.06,10,712,No,0,1006.25,0.400983205,Rejected
29,male,Master,34505,10,RENT,5000,VENTURE,0.013658333,176.7494009,16.39,0.14,8,666,No,1,416.6666667,0.424198562,Approved
22,male,Master,31489,0,RENT,7500,MEDICAL,0.012466667,259.8430766,14.96,0.24,3,510,No,1,625.0,0.415748922,Approved
22,female,Bachelor,90694,0,RENT,21000,DEBTCONSOLIDATION,0.008333333,677.6109311,10.0,0.23,4,677,Yes,0,1750.0,0.387206246,Rejected
42,male,High School,67974,20,MORTGAGE,10000,HOMEIMPROVEMENT,0.012841667,348.6644375,15.41,0.15,11,586,No,1,833.3333333,0.418397325,Approved
25,female,Associate,70930,0,RENT,19900,MEDICAL,0.009858333,659.3501425,11.83,0.28,4,578,No,1,1658.333333,0.397598076,Approved
32,female,Bachelor,156982,8,MORTGAGE,7500,EDUCATION,0.006075,232.5739663,7.29,0.05,6,664,No,0,625.0,0.372118346,Rejected
23,male,Associate,43963,2,RENT,11000,VENTURE,0.010925,371.216552,13.11,0.25,3,675,No,1,916.6666667,0.404963511,Approved
24,male,Bachelor,76641,4,RENT,11500,VENTURE,0.012325,397.4696581,14.79,0.15,2,661,No,0,958.3333333,0.414750948,Rejected
37,male,High School,92749,11,RENT,24250,DEBTCONSOLIDATION,0.013041667,848.3736829,15.65,0.26,13,567,No,1,2020.833333,0.419813781,Approved
25,male,Bachelor,73057,3,RENT,3000,VENTURE,0.011225,101.7623364,13.47,0.04,3,658,No,1,250.0,0.407049346,Approved
25,female,High School,39131,5,RENT,12000,MEDICAL,0.012466667,415.7489225,14.96,0.31,3,670,No,1,1000.0,0.415748922,Approved
21,male,Master,67526,0,RENT,6000,PERSONAL,0.009175,196.4607177,11.01,0.09,3,661,No,0,500.0,0.392921435,Rejected
44,female,High School,47591,19,RENT,12000,MEDICAL,0.009283333,393.6606697,11.14,0.25,15,634,No,1,1000.0,0.39366067,Approved
28,female,Bachelor,23934,2,RENT,9250,MEDICAL,0.01185,317.1323558,14.22,0.39,9,667,No,1,770.8333333,0.411414948,Approved
25,male,Bachelor,65915,3,RENT,16000,HOMEIMPROVEMENT,0.012933333,558.7282548,15.52,0.24,4,610,No,1,1333.333333,0.419046191,Approved
31,female,High School,42926,9,RENT,11400,VENTURE,0.005758333,351.5299907,6.91,0.27,8,636,No,1,950.0,0.370031569,Approved
22,female,Bachelor,60953,0,RENT,4000,EDUCATION,0.005766667,123.362131,6.92,0.07,4,662,Yes,0,333.3333333,0.370086393,Rejected
24,female,Master,58399,0,RENT,7000,MEDICAL,0.007816667,223.8381917,9.38,0.12,4,664,Yes,0,583.3333333,0.383722614,Rejected
21,female,High School,30927,0,RENT,5000,MEDICAL,0.013708333,176.8980138,16.45,0.16,4,681,No,1,416.6666667,0.424555233,Approved
21,female,High School,15153,1,OWN,3000,EDUCATION,0.007416667,95.25963546,8.9,0.2,4,594,No,1,250.0,0.381038542,Approved
33,female,Master,190978,10,MORTGAGE,15000,PERSONAL,0.0136,529.7283291,16.32,0.08,5,633,No,1,1250.0,0.423782663,Approved
24,male,Associate,42815,0,RENT,5000,DEBTCONSOLIDATION,0.006566667,156.405183,7.88,0.12,4,673,Yes,0,416.6666667,0.375372439,Rejected
29,female,Bachelor,75363,4,MORTGAGE,12000,PERSONAL,0.0081,385.6306632,9.72,0.16,8,615,No,0,1000.0,0.385630663,Rejected
24,male,High School,85047,3,MORTGAGE,17000,PERSONAL,0.006258333,528.883788,7.51,0.2,4,572,Yes,0,1416.666667,0.373329733,Rejected
37,female,High School,130755,14,RENT,20000,HOMEIMPROVEMENT,0.0136,706.3044388,16.32,0.15,15,655,No,1,1666.666667,0.423782663,Approved
24,male,Master,56077,2,MORTGAGE,10075,DEBTCONSOLIDATION,0.01035,336.658816,12.42,0.18,2,713,No,0,839.5833333,0.400983205,Rejected
31,male,Master,92092,6,MORTGAGE,12000,EDUCATION,0.0133,421.6474577,15.96,0.13,5,651,No,1,1000.0,0.421647458,Approved
23,male,Bachelor,121220,1,MORTGAGE,14000,MEDICAL,0.005141667,426.986339,6.17,0.12,4,576,No,0,1166.666667,0.365988291,Rejected
